A,Count(A),Event,P(B|A)
L,9674,L|L,0.5793880504444904
L,9674,R|L,0.4206119495555096
R,9778,L|R,0.41388832071998366
R,9778,R|R,0.5861116792800164
LL,4678,L|LL,0.635528003420265
LL,4678,R|LL,0.36447199657973495
LR,3357,L|LR,0.450402144772118
LR,3357,R|LR,0.5495978552278821
RL,3275,L|RL,0.5334351145038168
RL,3275,R|RL,0.4665648854961832
RR,4743,L|RR,0.3641155386885937
RR,4743,R|RR,0.6358844613114063
LLL,2453,L|LLL,0.6710150835711374
LLL,2453,R|LLL,0.32898491642886263
LLR,1330,L|LLR,0.49022556390977445
LLR,1330,R|LLR,0.5097744360902255
LRL,1153,L|LRL,0.5446660884648742
LRL,1153,R|LRL,0.45533391153512576
LRR,1446,L|LRR,0.3824343015214384
LRR,1446,R|LRR,0.6175656984785616
RLL,1342,L|RLL,0.6035767511177347
RLL,1342,R|RLL,0.39642324888226527
RLR,1195,L|RLR,0.41506276150627613
RLR,1195,R|RLR,0.5849372384937238
RRL,1316,L|RRL,0.5113981762917933
RRL,1316,R|RRL,0.4886018237082067
RRR,2432,L|RRR,0.34457236842105265
RRR,2432,R|RRR,0.6554276315789473
LLLL,1326,L|LLLL,0.6953242835595776
LLLL,1326,R|LLLL,0.3046757164404223
LLLR,603,L|LLLR,0.49087893864013266
LLLR,603,R|LLLR,0.5091210613598673
LLRL,457,L|LLRL,0.5492341356673961
LLRL,457,R|LLRL,0.45076586433260396
LLRR,482,L|LLRR,0.37136929460580914
LLRR,482,R|LLRR,0.6286307053941909
LRLL,437,L|LRLL,0.6041189931350115
LRLL,437,R|LRLL,0.39588100686498856
LRLR,364,L|LRLR,0.37362637362637363
LRLR,364,R|LRLR,0.6263736263736264
LRRL,364,L|LRRL,0.5082417582417582
LRRL,364,R|LRRL,0.49175824175824173
LRRR,634,L|LRRR,0.34858044164037855
LRRR,634,R|LRRR,0.6514195583596214
RLLL,615,L|RLLL,0.6780487804878049
RLLL,615,R|RLLL,0.32195121951219513
RLLR,366,L|RLLR,0.48360655737704916
RLLR,366,R|RLLR,0.5163934426229508
RLRL,338,L|RLRL,0.5680473372781065
RLRL,338,R|RLRL,0.4319526627218935
RLRR,499,L|RLRR,0.3907815631262525
RLRR,499,R|RLRR,0.6092184368737475
RRLL,465,L|RRLL,0.5849462365591398
RRLL,465,R|RRLL,0.4150537634408602
RRLR,475,L|RRLR,0.4147368421052632
RRLR,475,R|RRLR,0.5852631578947368
RRRL,620,L|RRRL,0.5225806451612903
RRRL,620,R|RRRL,0.4774193548387097
RRRR,1273,L|RRRR,0.3079340141398272
RRRR,1273,R|RRRR,0.6920659858601729
LLLLL,719,L|LLLLL,0.7357440890125174
LLLLL,719,R|LLLLL,0.26425591098748263
LLLLR,277,L|LLLLR,0.44765342960288806
LLLLR,277,R|LLLLR,0.5523465703971119
LLLRL,179,L|LLLRL,0.5865921787709497
LLLRL,179,R|LLLRL,0.4134078212290503
LLLRR,187,L|LLLRR,0.3689839572192513
LLLRR,187,R|LLLRR,0.6310160427807486
LLRLL,154,L|LLRLL,0.6623376623376623
LLRLL,154,R|LLRLL,0.33766233766233766
LLRLR,122,L|LLRLR,0.4262295081967213
LLRLR,122,R|LLRLR,0.5737704918032787
LLRRL,91,L|LLRRL,0.5054945054945055
LLRRL,91,R|LLRRL,0.4945054945054945
LLRRR,181,L|LLRRR,0.3259668508287293
LLRRR,181,R|LLRRR,0.6740331491712708
LRLLL,176,L|LRLLL,0.6193181818181818
LRLLL,176,R|LRLLL,0.3806818181818182
LRLLR,115,L|LRLLR,0.45217391304347826
LRLLR,115,R|LRLLR,0.5478260869565217
LRLRL,79,L|LRLRL,0.5316455696202531
LRLRL,79,R|LRLRL,0.46835443037974683
LRLRR,138,L|LRLRR,0.3333333333333333
LRLRR,138,R|LRLRR,0.6666666666666666
LRRLL,102,L|LRRLL,0.5588235294117647
LRRLL,102,R|LRRLL,0.4411764705882353
